agent_name,seed,episode,cumulative_reward,scenario_name,expected_profit,default_rate,approval_rate,log_type,metadata
dqn,11,validation,155467.33449947496,base_market,128034.68618311547,0.10368349249658936,0.3636513973871341,validation,
dqn,11,0,-145967.3646954467,drift,,,,,{'total_steps': 26}
dqn,11,1,-281275.61497662845,adverse_stress,,,,,{'total_steps': 52}
dqn,11,2,-95910.08000370517,class_imbalance_shift,,,,,{'total_steps': 78}
dqn,11,3,-20890.033770130154,noise,,,,,{'total_steps': 104}
dqn,11,4,-183025.5284746771,split_policy_dynamics,,,,,{'total_steps': 130}
dqn,11,5,55106.18417625863,base_market,,,,,{'total_steps': 156}
dqn,11,6,-7735.678208042584,drift,,,,,{'total_steps': 182}
dqn,11,7,-126347.40446058541,adverse_stress,,,,,{'total_steps': 208}
dqn,11,8,-155462.59976266488,class_imbalance_shift,,,,,{'total_steps': 234}
dqn,11,9,157699.81812889743,noise,,,,,{'total_steps': 260}
dqn,11,10,88042.8257196624,split_policy_dynamics,,,,,{'total_steps': 286}
dqn,11,11,96067.63776622557,base_market,,,,,{'total_steps': 312}
double_dqn,11,validation,153668.15864232217,base_market,126557.86455278462,0.10399636693914623,0.36414751116255994,validation,
double_dqn,11,0,-156737.0601945462,drift,,,,,{'total_steps': 26}
double_dqn,11,1,-330188.1338947582,adverse_stress,,,,,{'total_steps': 52}
double_dqn,11,2,-156418.67487660915,class_imbalance_shift,,,,,{'total_steps': 78}
double_dqn,11,3,-27036.931257035147,noise,,,,,{'total_steps': 104}
double_dqn,11,4,-153895.00059429748,split_policy_dynamics,,,,,{'total_steps': 130}
double_dqn,11,5,104556.29475281981,base_market,,,,,{'total_steps': 156}
double_dqn,11,6,-26152.30703085156,drift,,,,,{'total_steps': 182}
double_dqn,11,7,-205669.7327322464,adverse_stress,,,,,{'total_steps': 208}
double_dqn,11,8,113634.81536831602,class_imbalance_shift,,,,,{'total_steps': 234}
double_dqn,11,9,168384.40852539544,noise,,,,,{'total_steps': 260}
double_dqn,11,10,88206.10411883978,split_policy_dynamics,,,,,{'total_steps': 286}
double_dqn,11,11,92710.69874554226,base_market,,,,,{'total_steps': 312}
ppo,11,validation,30254.898287520115,base_market,32855.52576996214,0.1465983489894677,0.580949231023648,validation,
sac,11,validation,-306152.85023778415,base_market,-230260.4896635661,0.20768064679130874,0.6545394410451464,validation,
dqn,23,validation,151115.31298201106,base_market,124583.54896377865,0.10580046403712297,0.359346339836585,validation,
dqn,23,0,-117746.42532204064,drift,,,,,{'total_steps': 26}
dqn,23,1,-336211.9713073724,adverse_stress,,,,,{'total_steps': 52}
dqn,23,2,-175938.6788294509,class_imbalance_shift,,,,,{'total_steps': 78}
dqn,23,3,34529.60660801131,noise,,,,,{'total_steps': 104}
dqn,23,4,-78522.93999261309,split_policy_dynamics,,,,,{'total_steps': 130}
dqn,23,5,72932.32147774285,base_market,,,,,{'total_steps': 156}
dqn,23,6,-17894.066862139214,drift,,,,,{'total_steps': 182}
dqn,23,7,-441948.6414697843,adverse_stress,,,,,{'total_steps': 208}
dqn,23,8,-203605.5067542046,class_imbalance_shift,,,,,{'total_steps': 234}
dqn,23,9,40201.977859919134,noise,,,,,{'total_steps': 260}
